28605706,Rua Romana Villas Boas Schuenck,,Nova Suíça,6148,19
28605707,Rua Herimano Rocha,,Nova Suíça,6148,19
28605708,Rua Theophilo Zarife,,Nova Suíça,6148,19
28605710,Rua Vicente Sorrentino,,Nova Suíça,6148,19
28605712,Rua Cândido Gaspar,,Nova Suíça,6148,19
28605714,Rua Doutor Hélio Maia,,Nova Suíça,6148,19
28605715,Rua Atts José Mariano,,Nova Suíça,6148,19
28605717,Rua Antônio Novais,,Nova Suíça,6148,19
28605719,Rua Alcides Ferreira da Rocha,,Nova Suíça,6148,19
28605720,Rua Rufino Oscar Schuenck,,Nova Suíça,6148,19
28605722,Rua Luiz Gonzaga Duque Estrada Laginestra,,Nova Suíça,6148,19
28605723,Rua Antônio Rodrigues da Silva,,Nova Suíça,6148,19
28605725,Rua Francisco Corrêa Amaral,,Nova Suíça,6148,19
28605727,Rua José Barroso,,Nova Suíça,6148,19
28605730,Rua Salvador da Rosa Canto,,Nova Suíça,6148,19
28605732,Rua Hélio Silva Canto,,Nova Suíça,6148,19
28605734,Rua Leite,,Nova Suíça,6148,19
28605736,Rua Moisés Moraes Filho,,Nova Suíça,6148,19
28605740,Avenida Waldir Teixeira de Abreu,,Nova Suíça,6148,19
28605742,Avenida Doutor Nicolau Noé,,Nova Suíça,6148,19
28605744,Rua Maria Othelina Costa,,Nova Suíça,6148,19
28605746,Rua Menezes Vertulli,,Nova Suíça,6148,19
28605748,Rua João Ramos Valença,,Nova Suíça,6148,19
28605750,Rua Maria de Lourdes Knupp Tardim,,Nova Suíça,6148,19
28605970,Rua Antônio Lugon 28,,Amparo,6148,19
28605991,"Estrada Friburgo-Amparo, s/nº - Km 09 - Loja 01",,,6148,19
28610000,Rua D,,Braunes,6148,19
28610005,Rua Dante Laginestra,,Centro,6148,19
28610006,Rua E,,Braunes,6148,19
28610007,Rua F,,Braunes,6148,19
28610010,Rua Prefeito José Eugênio Muller,,Centro,6148,19
28610020,Vila Damázio da Costa,,Centro,6148,19
28610030,Vila Acácio Borges,,Centro,6148,19
28610040,Rua Helênio Verani,,Centro,6148,19
28610050,Rua Augusto Cardoso,,Centro,6148,19
28610080,Rua Professor Menezes Wanderley,,Centro,6148,19
28610090,Rua Nossa Senhora de Fátima,,Centro,6148,19
28610110,Vila Braziellas,,Centro,6148,19
28610120,Rua Doutor Ernesto Brasílio,,Centro,6148,19
28610135,Rua Portugal,,Centro,6148,19
28610140,Rua Coronel Galiano das Neves,,Centro,6148,19
28610150,Rua Antônio Soares Macedo,,Centro,6148,19
28610160,Praça Dermerval Barbosa Moreira,,Centro,6148,19
28610170,Vila Hymirema,,Centro,6148,19
28610175,Praça Presidente Getúlio Vargas,,Centro,6148,19
28610180,Rua Luís Spinelli,,Centro,6148,19
28610190,Rua Augusto Spinelli,,Centro,6148,19
28610200,Vila Schuabb,,Centro,6148,19
28610210,Rua Major Augusto Marques Braga,,Centro,6148,19
28610220,Rua Juvenal Namem,,Centro,6148,19
28610230,Rua Monsenhor Miranda,,Centro,6148,19
28610240,Travessa Alfredo dos Santos Noel,,Centro,6148,19
28610250,Travessa Antônio Ricart,,Centro,6148,19
28610260,Rua Miranda Fortes,,Centro,6148,19
28610270,Rua Cristina Ziede,,Centro,6148,19
28610280,Rua Farinha Filho,,Centro,6148,19
28610290,Praça Doutor João Bazet,,Centro,6148,19
28610300,Rua Casimiro de Abreu,,Centro,6148,19
28610310,Estrada do Tinguely,,Centro,6148,19
28610320,Rua Sílvio Rangel,,Centro,6148,19
28610325,Rua Josephina Salusse das Neves,,Centro,6148,19
28610330,Rua Adolfo Lautz,,Centro,6148,19
28610332,Rua Doutor José Galiano das Neves,,Suíço,6148,19
28610334,Rua Courfaivre,,Suíço,6148,19
28610336,Rua Montes Jura,,Suíço,6148,19
28610338,Rua Carlos Luiz Jacob,,Suíço,6148,19
28610339,Rua Fontenais,,Suíço,6148,19
28610340,Rua Nicolau Gachet,,Suíço,6148,19
28610341,Rua do Valais,,Suíço,6148,19
28610345,Rua Padre Jacob Joye,,Suíço,6148,19
28610347,Rua de Lausanne,,Suíço,6148,19
28610350,Rua Artur Sardou,,Suíço,6148,19
28610360,Vila Juvenal Marques,,Centro,6148,19
28610370,Rua Pedro Salusse,,Suíço,6148,19
28610380,Rua Santos Werneck,,Centro,6148,19
28610390,Rua Monsenhor José Antônio Teixeira,,Centro,6148,19
28610400,Travessa Manoel Vicente Valentim,,Centro,6148,19
28610410,Travessa Antônio Fernandes Moreira,,Centro,6148,19
28610420,Rua Josina Barbosa Folly,,Centro,6148,19
28610430,Rua Maestro Carlos Rotay,,Centro,6148,19
28610440,Rua Eduardo Salusse,,Centro,6148,19
28610450,Rua Oswaldo Cruz,,Braunes,6148,19
28610470,Alameda Mariana Salusse,,Centro,6148,19
28610970,Rua Augusto Cardoso 59,,Centro,6148,19
28610971,Rua Dante Laginestra 39/43,,Centro,6148,19
28610973,Rua Augusto Spinelli 152,,Centro,6148,19
28610974,Praça Presidente Getúlio Vargas 85,,Centro,6148,19
28611000,Rua Carlos Alberto Braune,,Braunes,6148,19
28611010,Rua Antônio Roussoulieres,,Braunes,6148,19
28611020,Rua Sara Braune,,Braunes,6148,19
28611030,Rua Euclides da Cunha,,Braunes,6148,19
28611040,Rua João Luiz Manhães,,Braunes,6148,19
28611050,Rua Bernardo Pinto,,Braunes,6148,19
28611060,Rua Professor Worms de Carvalho Bastos,,Braunes,6148,19
28611070,Rua Doutor Barcelos,,Braunes,6148,19
28611080,Rua Dulce Braune,,Braunes,6148,19
28611090,Rua Vicente de Morais,,Braunes,6148,19
28611100,Rua Helena Coutinho,,Braunes,6148,19
28611110,Rua Castro Alves,,Braunes,6148,19
28611120,Travessa Itajaí,,Braunes,6148,19
28611135,Rua José Acurcio Benigno,,Braunes,6148,19
28611140,Rua Joaquim Pereira de Faria,,Braunes,6148,19
28611150,Rua Professora Leonidia Ferreira,,Braunes,6148,19
28611160,Rua Ângelo Merec,,Braunes,6148,19
28611170,Rua Adelaide Martins Novaes,,Braunes,6148,19
28611175,Rua João dos Santos Monteiro,,Braunes,6148,19
28611180,Rua Manoel Antunes Nogueira,,Sans Souci,6148,19
28611185,Rua Vereador Ned Torres,,Sans Souci,6148,19
28611190,Rua Clélia Letícia Eulália Roseli,,Braunes,6148,19
28611195,Rua da Avenca,,Braunes,6148,19
28611200,Rua Ernesto Bizzoto Filho,,Braunes,6148,19
28611205,Rua Vila Repos,,Braunes,6148,19
28611210,Rua Jacy Linhares Ramos,,Braunes,6148,19
28611212,Rua Ville de Fribourg,,Braunes,6148,19
28611214,Rua Joé Bonin,,Braunes,6148,19
28611216,Rua José do Couto Raposo,,Braunes,6148,19
28611220,Rua Knust,,Braunes,6148,19
28611230,Rua Visconde de Itaboraí,,Braunes,6148,19
28611235,Rua Adelino Araujo de Barros,,Braunes,6148,19
28611240,Rua João Mauro,,Braunes,6148,19
28611250,Rua Professor Oswaldo Barata,,Braunes,6148,19
28611260,Rua Itajaí,,Braunes,6148,19
28611270,Rua Marques de Souza,,Braunes,6148,19
28611280,Rua Bagé,,Braunes,6148,19
